name-version.extension*,license*,copyrights*,end-of-support,dependencies,language,repository,email,URL
json-path-2.5.0.jar,Apache-2.0,,,,,,,
json-smart-2.3.jar,Apache-2.0,,,,,,,
log4j-1.2.14.jar,Apache-2.0;;;;;;;;L;;;;;;;;
odfdom-java-0.8.7.jar,Apache-2.0,,,,,,,
ooxml-schemas-1.4.jar,Apache-2.0,,,,,,,
oro-2.0.8.jar,Apache,,,,,,,
poi-4.0.1.jar,Apache-2.0,,,,,,,
poi-ooxml-4.0.1.jar,Apache-2.0,,,,,,,
poi-ooxml-schemas-4.0.1.jar,Apache-2.0,,,,,,,
reactive-streams-1.0.2.jar,CC0 1.0,,,,,,,
resteasy-client-3.7.0.Final.jar,Apache-2.0,,,,,,,
resteasy-jackson2-provider-3.7.0.Final.jar,Apache-2.0,,,,,,,
resteasy-jaxrs-3.7.0.Final.jar,Apache-2.0,,,,,,,
slf4j-api-1.7.30.jar,MIT,,,,,,,
spring-aop-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-beans-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-context-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-core-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-expression-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-instrument-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-jdbc-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-tx-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
spring-web-4.3.24.RELEASE.jar,Apache-2.0,,,,,,,
swagger-annotations-1.5.18.jar,Apache-2.0,,,,,,,
swagger-jaxrs-1.5.18.jar,Apache-2.0,,,,,,,
util-perf-1.0.0.jar,"Apache-2.0;MIT",,,,,,,
validation-api-1.0.0.GA-redhat-3.jar,Apache-2.0,,,,,,,
velocity-1.7.jar,Apache-2.0,,,,,,,
xerces-2.4.0.jar,Apache-2.0,,,,,,,
xercesImpl-2.9.1.jar,Apache,,,,,,,
xml-apis-1.3.04.jar,Apache-2.0,,,,,,,
xmlbeans-3.0.1.jar,Apache-2.0,,,,,,,
